date,rating,review,year,month,weekday
2025-03-12,10,love anything robert put multiples ones screen happiest girl earth,2025,3,2
2025-07-22,8,isso aqui pra redao um sucesso e ainda tem robert pattinson absurdamente lindo,2025,7,1
2025-07-23,7,lighthouse 17 18,2025,7,2
2025-07-22,9,criticizes system extreme capitalism dystopian world,2025,7,1
2025-07-22,4,acting choices like blood sauce made cringe bit felt like meant filmed different language everything bit top,2025,7,1
2025-07-22,8,fun movie cool concept,2025,7,1
2025-07-22,10,absolutely loved movie great balance humor action even picky mom enjoyed movies like really shine light picked team edward years ago could feel aura next years come hasnt disappointed since,2025,7,1
2025-07-22,7,ha parecido entretenida original pero tambin bastante rara gusta cmo equilibra lo absurdo con lo filosfico robert pattinson lo hace muy bien interpretando ambos mickeys al principio choca un poco que tengan personalidades tan diferentes siendo clones con los mismos recuerdos pero justo por eso pareci interesante la escena en la que recuerdan de forma distinta el accidente de coche queda del todo claro por qu ocurre eso da pena que lo,2025,7,1
2025-07-22,7,dont show mickey 9 gets hit head coconut dies makes funny sound like donk,2025,7,1
2025-07-22,8,trs cool mais manque un truc de plus scne dehor dans la neige trop longue,2025,7,1
2025-07-23,10,things would 18 robert pattinsons lord forgive,2025,7,2
2025-07-22,5,super rara pero robert esta hermoso es entretenida para verla una sola vez igual,2025,7,1
2025-02-12,6,fun robert hilarious think movies like age well ill watch teenage kids 20 years feels ahead time,2025,2,2
2025-07-22,10,esse filme literalmente aceitei esse trabalho bosta pq desesperado eu te entendo mickey eu te entendo,2025,7,1
2025-07-22,1,stopped watching 10 minutes long,2025,7,1
2025-07-23,4,bon concept mais pue,2025,7,2
2025-07-19,6,liked alien things uninterested whole movie ngl robert pattinson slayed though,2025,7,5
2025-07-23,8,le concept est vraiment bien,2025,7,2
2025-07-21,9,eu achei incrvel,2025,7,0
2025-07-23,4,huh,2025,7,2
2025-07-21,10,eu como 90 das pessoas assisti esse filme pelo mnage com os dois robert pattison,2025,7,0
2025-07-23,9,n dou 5 estrelas pq final foi meio meh,2025,7,2
2025-07-22,6,mhh,2025,7,1
2025-07-22,8,shit entertaining hell pretty much checks right boxes yeah flawed seriously expected another parasite youre child think stand test time sure,2025,7,1
2025-07-23,4,expected lot received little worst part movie explains every plot turn like five year old paired never ending narration top villainy story becomes quickly annoying rather entertaining,2025,7,2
2025-07-22,6,robert cool thats abt,2025,7,1
2025-07-22,9,stop feeling guilty ok happy,2025,7,1
2025-07-22,8,era meu sonho dois roberts pattinsons pra mim um doido e um coitado,2025,7,1
2025-07-22,7,passei filme todo pensar naquela musica oh mickey youre fineee,2025,7,1
